column_name,source_family,native_geography,field_role,primary_model_use,source_column,notes
housing_qs_median_weekly_rent,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_median_rent_count,Median weekly rent from Census QuickStats housing table.
housing_qs_owned_outright_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_owned_outright_pct,Percentage of occupied private dwellings owned outright.
housing_qs_owned_with_mortgage_count,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_owned_with_a_mortgage_count,Occupied private dwellings owned with a mortgage.
housing_qs_owned_with_mortgage_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_owned_with_a_mortgage_pct,Percentage of occupied private dwellings owned with a mortgage.
housing_qs_rented_count,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_rented_count,Occupied private dwellings rented.
housing_qs_rented_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_rented_pct,Percentage of occupied private dwellings rented.
housing_qs_separate_house_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_separate_house_pct,Percentage of occupied private dwellings that are separate houses.
housing_qs_flat_or_apartment_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_flat_or_apartment_pct,Percentage of occupied private dwellings that are flats or apartments.
housing_qs_semi_detached_townhouse_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_semi_detached_row_or_terrace_house_townhouse_etc_pct,Percentage of occupied private dwellings that are semi-detached/row/terrace/townhouse.
housing_qs_unoccupied_private_dwellings_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_dwellings_unnamed_unnamed_dwelling_count_private_dwellings_unoccupied_private_dwellings_pct,Percentage of private dwellings unoccupied.
housing_qs_average_bedrooms_per_dwelling,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_average_number_of_bedrooms_per_dwelling_count,Average number of bedrooms per occupied private dwelling.
housing_qs_average_people_per_household,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_average_number_of_people_per_household_count,Average number of people per household.
housing_qs_1_bedroom_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_1_bedroom_pct,Percentage of occupied private dwellings with one bedroom.
housing_qs_4plus_bedrooms_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_4_or_more_bedrooms_pct,Percentage of occupied private dwellings with four or more bedrooms.
housing_qs_single_person_households_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_single_person_households_pct,Percentage of occupied private dwellings that are single-person households.
housing_qs_group_households_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_group_households_pct,Percentage of occupied private dwellings that are group households.
housing_qs_family_households_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_family_households_pct,Percentage of occupied private dwellings that are family households.
housing_qs_low_household_income_lt_650_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_household_income_occupied_private_d_less_than_650_total_household_weekly_income_pct,Percentage of occupied private dwellings with total household weekly income less than $650.
housing_qs_high_household_income_gt_3000_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_household_income_occupied_private_d_more_than_3_000_total_household_weekly_income_pct,"Percentage of occupied private dwellings with total household weekly income more than $3,000."
housing_dss_commonwealth_rent_assistance_recipients,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,dss_sa2_2021_allocated_commonwealth_rent_assistance_recipients,"Allocated DSS Commonwealth Rent Assistance recipient count. Count, not a rate."
