column_name,source_family,native_geography,field_role,primary_model_use,notes
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_not_stated_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_not_stated_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_dwelling_count_private_dwellings_occupied_private_dwellings_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_dwelling_count_private_dwellings_occupied_private_dwellings_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_dwelling_count_private_dwellings_unoccupied_private_dwellings_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_dwelling_count_private_dwellings_unoccupied_private_dwellings_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_flat_or_apartment_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_flat_or_apartment_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_other_dwelling_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_other_dwelling_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_semi_detached_row_or_terrace_house_townhouse_etc_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_semi_detached_row_or_terrace_house_townhouse_etc_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_separate_house_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_dwelling_structure_occupied_private_separate_house_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_1_bedroom_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_1_bedroom_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_2_bedrooms_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_2_bedrooms_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_3_bedrooms_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_3_bedrooms_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_4_or_more_bedrooms_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_4_or_more_bedrooms_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_average_number_of_bedrooms_per_dwelling_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_average_number_of_people_per_household_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_none_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_none_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_number_of_bedrooms_not_stated_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_bedrooms_occupied_private_number_of_bedrooms_not_stated_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_1_motor_vehicle_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_1_motor_vehicle_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_2_motor_vehicles_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_2_motor_vehicles_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_3_or_more_vehicles_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_3_or_more_vehicles_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_number_of_motor_vehicles_not_stated_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_dwellings_unnamed_unnamed_number_of_registered_motor_vehicles_number_of_motor_vehicles_not_stated_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_families_unnamed_unnamed_family_composition_all_families_one_parent_family_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_families_unnamed_unnamed_family_composition_all_families_one_parent_family_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_families_unnamed_unnamed_single_parents_proportion_of_the_to_female_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_families_unnamed_unnamed_single_parents_proportion_of_the_to_male_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_family_households_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_family_households_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_group_households_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_group_households_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_single_person_households_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_single_person_households_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_household_income_occupied_private_d_less_than_650_total_household_weekly_income_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_household_income_occupied_private_d_more_than_3_000_total_household_weekly_income_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_median_mortgage_repayments_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_where_mortgage_repayment_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_where_mortgage_repayment_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_with_mortgage_repayments_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_with_mortgage_repayments_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_unable_to_determine_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_unable_to_determine_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_median_rent_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_where_rent_payments_are_less_than_or_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_where_rent_payments_are_less_than_or_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_with_rent_payments_greater_than_30_of_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_with_rent_payments_greater_than_30_of_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_unable_to_determine_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
