source_slug,source_file,wide_column_name,field_role_initial,modelling_use_initial,notes
any_12_month_mental_disorder_modelled_sa2,Any_12-month_mental_disorder_-_modelled_-_SA2.xlsx,nsmhw__any_12_month_mental_disorder_modelled_sa2__proportion,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
any_12_month_mental_disorder_modelled_sa2,Any_12-month_mental_disorder_-_modelled_-_SA2.xlsx,nsmhw__any_12_month_mental_disorder_modelled_sa2__95_confidence_interval_of_proportion,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
any_12_month_mental_disorder_modelled_sa2,Any_12-month_mental_disorder_-_modelled_-_SA2.xlsx,nsmhw__any_12_month_mental_disorder_modelled_sa2__unnamed_2,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
any_12_month_mental_disorder_modelled_sa2,Any_12-month_mental_disorder_-_modelled_-_SA2.xlsx,nsmhw__any_12_month_mental_disorder_modelled_sa2__population,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
any_12_month_mental_disorder_by_severity_modelled_sa2,Any_12-month_mental_disorder_by_severity_-_modelled_-_SA2.xlsx,nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__persons_with_mild_severity,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
any_12_month_mental_disorder_by_severity_modelled_sa2,Any_12-month_mental_disorder_by_severity_-_modelled_-_SA2.xlsx,nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__relative_root_mean_square_error_a,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
any_12_month_mental_disorder_by_severity_modelled_sa2,Any_12-month_mental_disorder_by_severity_-_modelled_-_SA2.xlsx,nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__unnamed,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
any_12_month_mental_disorder_by_severity_modelled_sa2,Any_12-month_mental_disorder_by_severity_-_modelled_-_SA2.xlsx,nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__proportion,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
any_12_month_mental_disorder_by_severity_modelled_sa2,Any_12-month_mental_disorder_by_severity_-_modelled_-_SA2.xlsx,nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__95_confidence_interval_of_proportion,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
any_12_month_mental_disorder_by_severity_modelled_sa2,Any_12-month_mental_disorder_by_severity_-_modelled_-_SA2.xlsx,nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__unnamed_2,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
any_12_month_mental_disorder_by_severity_modelled_sa2,Any_12-month_mental_disorder_by_severity_-_modelled_-_SA2.xlsx,nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__population,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2,Comorbidity_of_12-month_mental_disorders_and_physical_conditions_-_modelled_-_SA2.xlsx,nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__persons_with_comorbidity,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2,Comorbidity_of_12-month_mental_disorders_and_physical_conditions_-_modelled_-_SA2.xlsx,nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__relative_root_mean_square_error_b,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2,Comorbidity_of_12-month_mental_disorders_and_physical_conditions_-_modelled_-_SA2.xlsx,nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__unnamed,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2,Comorbidity_of_12-month_mental_disorders_and_physical_conditions_-_modelled_-_SA2.xlsx,nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__proportion,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2,Comorbidity_of_12-month_mental_disorders_and_physical_conditions_-_modelled_-_SA2.xlsx,nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__95_confidence_interval_of_proportion,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2,Comorbidity_of_12-month_mental_disorders_and_physical_conditions_-_modelled_-_SA2.xlsx,nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__unnamed_2,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2,Comorbidity_of_12-month_mental_disorders_and_physical_conditions_-_modelled_-_SA2.xlsx,nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__population,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
