column_name,source_family,native_geography,join_key,field_role,modelling_warning
aihw_medicare_benefit_paid_per_capita_all_providers_2021_22_source_value,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_medicare_benefit_paid_per_capita_all_providers_2021_22_publication_status,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_medicare_fee_charged_per_capita_all_providers_2021_22,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_medicare_fee_charged_per_capita_all_providers_2021_22_source_value,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_medicare_fee_charged_per_capita_all_providers_2021_22_publication_status,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_prescriptions_patients_rate_per_10000_2021_22,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_prescriptions_patients_rate_per_10000_2021_22_source_value,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_prescriptions_patients_rate_per_10000_2021_22_publication_status,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_prescriptions_dispensed_rate_per_10000_2021_22,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_prescriptions_dispensed_rate_per_10000_2021_22_source_value,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_prescriptions_dispensed_rate_per_10000_2021_22_publication_status,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_prescriptions_benefit_subsidised_per_capita_2021_22,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_prescriptions_benefit_subsidised_per_capita_2021_22_source_value,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_prescriptions_benefit_subsidised_per_capita_2021_22_publication_status,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_primary_measures_numeric_count_2021_22,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_primary_measures_complete_numeric_2021_22,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
has_aihw_sa3_regional_profile_extract,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
source_aihw_sa3_regional_profiles_2021_22_present_flag,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,source_presence_flag,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
